Etr,Er1,Er2,Etrp,Er1p,Er2p
995.1090586512399,2739.0173808436016,3916.132020105109,2204.4909207385426,2754.6173227252107,2691.150216136197
2310.4428307594603,2012.7498011170035,352.6689064297096,3564.296879138136,734.9415375138574,376.62312165418007
13483.378534721878,880.9068735756721,448.6656430094481,2429.880404012271,1791.7411616387092,10591.329485656017
224.09223588825188,2.216533243304373,7.949120428113716,61.56897889699149,75.34447875047803,97.34443191220043
67.28148959273705,111.64401609478494,414.22637624305673,146.97018476481577,116.4064320885479,329.77526507721507
603.4236182449565,77.53492471597727,78.16042311620423,468.7551664771616,265.8821667591876,24.481632840788777
65.17497294861145,12.283560143071345,57.684023659207924,89.38363030926811,34.77225211720386,10.986674324418743
1065.2512082674525,502.7604675931528,336.9236886767351,1675.7229768507354,77.90216543170497,151.3102222548999
1127.5185455096746,2775.4361484065594,609.2015795556907,2323.715774867344,1745.513220459693,442.92727814488774
122.98281107525554,52.78377816122445,7.323115325422316,162.41304127628678,19.164550527793445,1.512112757822064
681.0980702883007,467.0752224808607,1331.6117742318688,527.0485805921479,1687.758919665653,264.9775667432294
66.0326501971148,11.138507651646627,2.8663590054990657,56.539829122203,22.84818259091803,0.6495051411394746
359.6585748578409,1023.47883186303,282.11962193396096,1151.0981655523067,71.97409817910837,442.18476492341694
625.2034412182937,946.5567262783993,2807.313168978617,2291.89427974022,2001.3945830243317,85.78447371075775
1249.5022012211286,4956.5228113220555,358.4543870216188,214.31405694813327,4274.752823374971,2075.4125192416986
4288.310641841361,1115.6342981502687,1354.8136708995494,2019.5324039801765,4570.592017303069,168.6341896079332
43.64161273965723,195.30493086880202,101.02860249791136,130.55172756610204,124.13084981741146,85.29256872285714
1456.3223834810353,152.50019999126198,183.0402244010028,1404.207638327809,262.71447838430544,124.94069116118571
6630.912228622965,60.39061379698968,392.4178573000534,1518.934778016283,4436.795001603428,1127.9909201002977
42.07198881691307,18.94849445379599,690.6932581997471,282.27245864821816,48.661050090729375,420.78023273150865
295.767530852783,139.89589388974937,139.25608024332755,173.98726374229994,376.1904829017794,24.741758341780603
124.21804673228567,142.73269126511875,390.2769593441795,548.0039422524628,3.553673261463463,105.67008182765767
58.93686057594653,1289.9207360367075,603.890534505592,1306.672073073282,427.3511628037636,218.72489524120036
1993.051773615617,12.37985401535216,38.96375555765047,793.558947162403,626.8342712930811,624.0021647331356
467.84121175394915,387.59264741489227,2007.3252616111754,253.1433639552348,233.6293262838738,2375.9864305409083
309.3884860255813,58.88065457171672,14.765036543925627,279.5500710655798,79.62322070567234,23.860885369971527
4532.117584248442,70.66551911869584,157.53898076745708,2206.330339712721,982.562739426682,1571.4290049951915
342.11041650799615,2544.8469193468845,102.71332534780517,762.8197362687276,275.95670631564946,1950.8942186183087
1220.3701382018214,79.81315871858517,169.47997332895386,1131.8059076716831,238.57091045976586,99.2864521179114
